timescale,pval,comparison,shed,iteration,hierarchy
daily,0.13166126936742548,Relative Position,FB,49,Relative Position
hourly,0.4713963150224358,Relative Position,FB,49,Relative Position
30mins,0.4649311505711864,Relative Position,FB,50,Relative Position
4hr,0.24997398608163524,Relative Position,FB,50,Relative Position
daily,0.050767946024707376,Relative Position,FB,50,Relative Position
hourly,0.3398004934936072,Relative Position,FB,50,Relative Position
30mins,0.2954591414219848,Relative Position,FB,51,Relative Position
4hr,0.3381042476979692,Relative Position,FB,51,Relative Position
daily,0.28397051338294943,Relative Position,FB,51,Relative Position
hourly,0.2931779006888633,Relative Position,FB,51,Relative Position
30mins,0.7536147109605039,Relative Position,FB,52,Relative Position
4hr,0.76887939859639,Relative Position,FB,52,Relative Position
daily,0.5190639167264379,Relative Position,FB,52,Relative Position
hourly,0.7952864241631507,Relative Position,FB,52,Relative Position
30mins,0.3017459312989791,Relative Position,FB,53,Relative Position
4hr,0.14936993120801992,Relative Position,FB,53,Relative Position
daily,0.036903786838995534,Relative Position,FB,53,Relative Position
hourly,0.2937795395533228,Relative Position,FB,53,Relative Position
30mins,0.555546753668304,Relative Position,FB,54,Relative Position
4hr,0.33732822324938927,Relative Position,FB,54,Relative Position
daily,0.14001302627382314,Relative Position,FB,54,Relative Position
hourly,0.5020845602542102,Relative Position,FB,54,Relative Position
30mins,0.6679979274624366,Relative Position,FB,55,Relative Position
4hr,0.40948671251012436,Relative Position,FB,55,Relative Position
daily,0.27639146493375744,Relative Position,FB,55,Relative Position
hourly,0.6130924367002263,Relative Position,FB,55,Relative Position
30mins,0.20363048789411195,Relative Position,FB,56,Relative Position
4hr,0.18938212222000736,Relative Position,FB,56,Relative Position
daily,0.1103944084181687,Relative Position,FB,56,Relative Position
hourly,0.23897987638624857,Relative Position,FB,56,Relative Position
30mins,0.9694390038645764,Relative Position,FB,57,Relative Position
4hr,0.9120419456344266,Relative Position,FB,57,Relative Position
daily,0.7812813157145068,Relative Position,FB,57,Relative Position
hourly,0.9622542828421308,Relative Position,FB,57,Relative Position
30mins,0.4873557279358967,Relative Position,FB,58,Relative Position
4hr,0.430727585098138,Relative Position,FB,58,Relative Position
daily,0.14908909582553456,Relative Position,FB,58,Relative Position
hourly,0.471673692735872,Relative Position,FB,58,Relative Position
30mins,0.34962820255530547,Relative Position,FB,59,Relative Position
4hr,0.23984078685530258,Relative Position,FB,59,Relative Position
daily,0.38043446537314485,Relative Position,FB,59,Relative Position
hourly,0.34217699043684807,Relative Position,FB,59,Relative Position
30mins,0.17534805719411056,Relative Position,FB,60,Relative Position
4hr,0.15744692180463501,Relative Position,FB,60,Relative Position
daily,0.03747799978946047,Relative Position,FB,60,Relative Position
hourly,0.16167854508092747,Relative Position,FB,60,Relative Position
30mins,0.056999470831063444,Relative Position,FB,61,Relative Position
4hr,0.022906615724790517,Relative Position,FB,61,Relative Position
daily,0.010796771061313677,Relative Position,FB,61,Relative Position
hourly,0.0544933970316127,Relative Position,FB,61,Relative Position
30mins,0.7080184188154993,Relative Position,FB,62,Relative Position
4hr,0.6154807789955067,Relative Position,FB,62,Relative Position
daily,0.7323659065405438,Relative Position,FB,62,Relative Position
hourly,0.6573090852306112,Relative Position,FB,62,Relative Position
30mins,0.6696413441604303,Relative Position,FB,63,Relative Position
4hr,0.3670773758428685,Relative Position,FB,63,Relative Position
daily,0.3505652046015115,Relative Position,FB,63,Relative Position
hourly,0.6039952875574164,Relative Position,FB,63,Relative Position
30mins,0.538020373221214,Relative Position,FB,64,Relative Position
4hr,0.37535900579570425,Relative Position,FB,64,Relative Position
daily,0.15997757423940062,Relative Position,FB,64,Relative Position
hourly,0.49749853426213847,Relative Position,FB,64,Relative Position
30mins,0.16442734850578944,Relative Position,FB,65,Relative Position
4hr,0.09159956517119389,Relative Position,FB,65,Relative Position
daily,0.11420181188371153,Relative Position,FB,65,Relative Position
hourly,0.1694807381151053,Relative Position,FB,65,Relative Position
30mins,0.14132360037041725,Relative Position,FB,66,Relative Position
4hr,0.08610595163387742,Relative Position,FB,66,Relative Position
daily,0.04915931431160159,Relative Position,FB,66,Relative Position
hourly,0.1376056367832494,Relative Position,FB,66,Relative Position
30mins,0.27481697984452697,Relative Position,FB,67,Relative Position
4hr,0.2032893152167614,Relative Position,FB,67,Relative Position
daily,0.18544637941303155,Relative Position,FB,67,Relative Position
hourly,0.23867891493152055,Relative Position,FB,67,Relative Position
30mins,0.38304461862653133,Relative Position,FB,68,Relative Position
4hr,0.26428947335959946,Relative Position,FB,68,Relative Position
daily,0.24980787613669603,Relative Position,FB,68,Relative Position
hourly,0.34025974717860785,Relative Position,FB,68,Relative Position
30mins,0.658207002184368,Relative Position,FB,69,Relative Position
4hr,0.4221200292211505,Relative Position,FB,69,Relative Position
daily,0.2844828266336492,Relative Position,FB,69,Relative Position
hourly,0.583460430282429,Relative Position,FB,69,Relative Position
30mins,0.23702554683595436,Relative Position,FB,70,Relative Position
4hr,0.17044446004121966,Relative Position,FB,70,Relative Position
daily,0.11731566734148008,Relative Position,FB,70,Relative Position
hourly,0.19248461707300657,Relative Position,FB,70,Relative Position
30mins,0.4947192427948312,Relative Position,FB,71,Relative Position
4hr,0.4179898531426859,Relative Position,FB,71,Relative Position
daily,0.24748768185454217,Relative Position,FB,71,Relative Position
hourly,0.48082933698350305,Relative Position,FB,71,Relative Position
30mins,0.474169585785456,Relative Position,FB,72,Relative Position
4hr,0.3798569442458414,Relative Position,FB,72,Relative Position
daily,0.15094801439900352,Relative Position,FB,72,Relative Position
hourly,0.5248595880912549,Relative Position,FB,72,Relative Position
30mins,0.5785594063927675,Relative Position,FB,73,Relative Position
4hr,0.5218817608861518,Relative Position,FB,73,Relative Position
daily,0.4439923009290245,Relative Position,FB,73,Relative Position
hourly,0.5059755019577877,Relative Position,FB,73,Relative Position
30mins,0.09933404892850152,Relative Position,FB,74,Relative Position
4hr,0.10622258624433023,Relative Position,FB,74,Relative Position
daily,0.07039881519652132,Relative Position,FB,74,Relative Position
hourly,0.14535183822471917,Relative Position,FB,74,Relative Position
30mins,0.7723323205353518,Relative Position,FB,75,Relative Position
4hr,0.48428171126015546,Relative Position,FB,75,Relative Position
daily,0.30229579823287633,Relative Position,FB,75,Relative Position
hourly,0.7258958101527638,Relative Position,FB,75,Relative Position
30mins,0.26818353053718386,Relative Position,FB,76,Relative Position
4hr,0.2318015727000895,Relative Position,FB,76,Relative Position
daily,0.05128861409476325,Relative Position,FB,76,Relative Position
hourly,0.2853188871286487,Relative Position,FB,76,Relative Position
30mins,0.11525735659643949,Relative Position,FB,77,Relative Position
4hr,0.07501861357688543,Relative Position,FB,77,Relative Position
daily,0.020432555877954128,Relative Position,FB,77,Relative Position
