timescale,pval,comparison,shed,iteration,hierarchy
hourly,0.6050996957845524,Relative Position,W3,33,Relative Position
30mins,0.42123520248257473,Relative Position,W3,34,Relative Position
4hr,0.34127417656575987,Relative Position,W3,34,Relative Position
daily,0.09811403333074996,Relative Position,W3,34,Relative Position
hourly,0.39644495156156667,Relative Position,W3,34,Relative Position
30mins,0.5388818020060927,Relative Position,W3,35,Relative Position
4hr,0.44673678628778796,Relative Position,W3,35,Relative Position
daily,0.20185133507382105,Relative Position,W3,35,Relative Position
hourly,0.5096850102909344,Relative Position,W3,35,Relative Position
30mins,0.5510859058358502,Relative Position,W3,36,Relative Position
4hr,0.48442640030139084,Relative Position,W3,36,Relative Position
daily,0.3411768660056424,Relative Position,W3,36,Relative Position
hourly,0.5416638397503759,Relative Position,W3,36,Relative Position
30mins,0.6192886949983849,Relative Position,W3,37,Relative Position
4hr,0.5714120726380565,Relative Position,W3,37,Relative Position
daily,0.3289553421239091,Relative Position,W3,37,Relative Position
hourly,0.6285980343559953,Relative Position,W3,37,Relative Position
30mins,0.6092358564988081,Relative Position,W3,38,Relative Position
4hr,0.34762901385806955,Relative Position,W3,38,Relative Position
daily,0.24860588500950156,Relative Position,W3,38,Relative Position
hourly,0.5573170787392996,Relative Position,W3,38,Relative Position
30mins,0.5626490775980771,Relative Position,W3,39,Relative Position
4hr,0.3652631253760048,Relative Position,W3,39,Relative Position
daily,0.20766937202436234,Relative Position,W3,39,Relative Position
hourly,0.47933902003781725,Relative Position,W3,39,Relative Position
30mins,0.13890070860122017,Relative Position,W3,40,Relative Position
4hr,0.0926924377763916,Relative Position,W3,40,Relative Position
daily,0.021802214699117528,Relative Position,W3,40,Relative Position
hourly,0.1229989311702253,Relative Position,W3,40,Relative Position
30mins,0.2782005516563681,Relative Position,W3,41,Relative Position
4hr,0.2851242997746529,Relative Position,W3,41,Relative Position
daily,0.1321821628353109,Relative Position,W3,41,Relative Position
hourly,0.29809925550798866,Relative Position,W3,41,Relative Position
30mins,0.7048449339126506,Relative Position,W3,42,Relative Position
4hr,0.42329011390243326,Relative Position,W3,42,Relative Position
daily,0.3030012002398851,Relative Position,W3,42,Relative Position
hourly,0.6692222099532132,Relative Position,W3,42,Relative Position
30mins,0.04360342320611537,Relative Position,W3,43,Relative Position
4hr,0.017740581350868187,Relative Position,W3,43,Relative Position
daily,0.007700902270233306,Relative Position,W3,43,Relative Position
hourly,0.03681429413124151,Relative Position,W3,43,Relative Position
30mins,0.6463348260224715,Relative Position,W3,44,Relative Position
4hr,0.6012409381422724,Relative Position,W3,44,Relative Position
daily,0.2641731204052852,Relative Position,W3,44,Relative Position
hourly,0.6519949281204991,Relative Position,W3,44,Relative Position
30mins,0.3509701699376284,Relative Position,W3,45,Relative Position
4hr,0.1959136925292728,Relative Position,W3,45,Relative Position
daily,0.0542701729154746,Relative Position,W3,45,Relative Position
hourly,0.32004991421806894,Relative Position,W3,45,Relative Position
