timescale,pval,comparison,shed,iteration,hierarchy
daily,0.15115921277892289,Relative Position,ZZ,32,Relative Position
hourly,0.4514806417165463,Relative Position,ZZ,32,Relative Position
30mins,0.8092273253156979,Relative Position,ZZ,33,Relative Position
4hr,0.6529459436833976,Relative Position,ZZ,33,Relative Position
daily,0.2906670339943801,Relative Position,ZZ,33,Relative Position
hourly,0.7628526158361897,Relative Position,ZZ,33,Relative Position
30mins,0.17018878348560554,Relative Position,ZZ,34,Relative Position
4hr,0.08954042976750272,Relative Position,ZZ,34,Relative Position
daily,0.03050345788375444,Relative Position,ZZ,34,Relative Position
hourly,0.13955662242077113,Relative Position,ZZ,34,Relative Position
30mins,0.2722151679702692,Relative Position,ZZ,35,Relative Position
4hr,0.3263299992418214,Relative Position,ZZ,35,Relative Position
daily,0.08080380466245077,Relative Position,ZZ,35,Relative Position
hourly,0.3135024558670252,Relative Position,ZZ,35,Relative Position
30mins,0.6116233702144183,Relative Position,ZZ,36,Relative Position
4hr,0.6464920403414168,Relative Position,ZZ,36,Relative Position
daily,0.2976263615845701,Relative Position,ZZ,36,Relative Position
hourly,0.644287276199673,Relative Position,ZZ,36,Relative Position
30mins,0.14663921274738206,Relative Position,ZZ,37,Relative Position
4hr,0.1007940256806163,Relative Position,ZZ,37,Relative Position
daily,0.01561098662686669,Relative Position,ZZ,37,Relative Position
hourly,0.14953812543774367,Relative Position,ZZ,37,Relative Position
30mins,0.3437167072078542,Relative Position,ZZ,38,Relative Position
4hr,0.21914723625939944,Relative Position,ZZ,38,Relative Position
daily,0.11111448070232387,Relative Position,ZZ,38,Relative Position
hourly,0.34950204831204734,Relative Position,ZZ,38,Relative Position
30mins,0.38637563130128316,Relative Position,ZZ,39,Relative Position
4hr,0.2539191928281982,Relative Position,ZZ,39,Relative Position
daily,0.09987194648602316,Relative Position,ZZ,39,Relative Position
hourly,0.3761528659667254,Relative Position,ZZ,39,Relative Position
30mins,0.4107067275965556,Relative Position,ZZ,40,Relative Position
4hr,0.2163787268059119,Relative Position,ZZ,40,Relative Position
daily,0.06501870370203976,Relative Position,ZZ,40,Relative Position
hourly,0.398155795895622,Relative Position,ZZ,40,Relative Position
30mins,0.75349918565455,Relative Position,ZZ,41,Relative Position
4hr,0.5191705178830758,Relative Position,ZZ,41,Relative Position
daily,0.2568255110363932,Relative Position,ZZ,41,Relative Position
hourly,0.6700168701878472,Relative Position,ZZ,41,Relative Position
30mins,0.2948614415875289,Relative Position,ZZ,42,Relative Position
4hr,0.18841104873102793,Relative Position,ZZ,42,Relative Position
daily,0.08069965341578511,Relative Position,ZZ,42,Relative Position
hourly,0.24749070771174195,Relative Position,ZZ,42,Relative Position
30mins,0.40786306120335997,Relative Position,ZZ,43,Relative Position
4hr,0.4162684121882111,Relative Position,ZZ,43,Relative Position
daily,0.20620040029285483,Relative Position,ZZ,43,Relative Position
hourly,0.4084040839009442,Relative Position,ZZ,43,Relative Position
30mins,0.3460274441830541,Relative Position,ZZ,44,Relative Position
