up,down,total,points,prop,timescale,shed,hierarchy
r_10,r_7,39,13,0.3333333333333333,4hr,ZZ,Relative Position
r_11,r_10,94,54,0.574468085106383,4hr,ZZ,Relative Position
r_12,r_8,80,7,0.0875,4hr,ZZ,Relative Position
r_14,r_11,54,45,0.8333333333333334,4hr,ZZ,Relative Position
r_15,r_11,80,71,0.8875,4hr,ZZ,Relative Position
r_16,r_15,86,1,0.011627906976744186,4hr,ZZ,Relative Position
r_17,r_14,34,4,0.11764705882352941,4hr,ZZ,Relative Position
r_18,r_17,85,64,0.7529411764705882,4hr,ZZ,Relative Position
r_19,r_16,62,14,0.22580645161290322,4hr,ZZ,Relative Position
r_2,r_1,24,0,0,4hr,ZZ,Relative Position
r_20,r_19,58,42,0.7241379310344828,4hr,ZZ,Relative Position
r_21,r_18,52,12,0.23076923076923078,4hr,ZZ,Relative Position
r_23,r_24,52,13,0.25,4hr,ZZ,Relative Position
r_24,r_25,70,20,0.2857142857142857,4hr,ZZ,Relative Position
r_25,r_27,41,37,0.9024390243902439,4hr,ZZ,Relative Position
r_26,r_27,27,23,0.8518518518518519,4hr,ZZ,Relative Position
r_3,r_2,16,13,0.8125,4hr,ZZ,Relative Position
r_4,r_3,46,38,0.8260869565217391,4hr,ZZ,Relative Position
r_8,r_4,53,40,0.7547169811320755,4hr,ZZ,Relative Position
r_10,r_7,28,10,0.35714285714285715,daily,ZZ,Relative Position
r_11,r_10,47,21,0.44680851063829785,daily,ZZ,Relative Position
r_12,r_8,42,6,0.14285714285714285,daily,ZZ,Relative Position
r_14,r_11,28,25,0.8928571428571429,daily,ZZ,Relative Position
r_15,r_11,41,33,0.8048780487804879,daily,ZZ,Relative Position
r_16,r_15,44,0,0,daily,ZZ,Relative Position
r_17,r_14,19,0,0,daily,ZZ,Relative Position
r_18,r_17,52,38,0.7307692307692307,daily,ZZ,Relative Position
r_19,r_16,32,4,0.125,daily,ZZ,Relative Position
r_2,r_1,18,0,0,daily,ZZ,Relative Position
r_20,r_19,30,26,0.8666666666666667,daily,ZZ,Relative Position
r_21,r_18,33,10,0.30303030303030304,daily,ZZ,Relative Position
r_23,r_24,31,7,0.22580645161290322,daily,ZZ,Relative Position
r_24,r_25,37,7,0.1891891891891892,daily,ZZ,Relative Position
r_25,r_27,21,17,0.8095238095238095,daily,ZZ,Relative Position
r_26,r_27,22,19,0.8636363636363636,daily,ZZ,Relative Position
r_3,r_2,10,7,0.7,daily,ZZ,Relative Position
r_4,r_3,31,26,0.8387096774193549,daily,ZZ,Relative Position
r_8,r_4,33,23,0.696969696969697,daily,ZZ,Relative Position
