up,down,total,points,prop,timescale,shed,hierarchy
r_22,r_2,18,17,0.9444444444444444,30mins,ZZ,Flow Permanence
r_23,r_3,62,47,0.7580645161290323,30mins,ZZ,Flow Permanence
r_24,r_16,129,48,0.37209302325581395,30mins,ZZ,Flow Permanence
r_25,r_13,177,73,0.4124293785310734,30mins,ZZ,Flow Permanence
r_26,r_1,104,74,0.7115384615384616,30mins,ZZ,Flow Permanence
r_3,r_27,28,19,0.6785714285714286,30mins,ZZ,Flow Permanence
r_4,r_17,117,69,0.5897435897435898,30mins,ZZ,Flow Permanence
r_5,r_20,68,33,0.4852941176470588,30mins,ZZ,Flow Permanence
r_6,r_25,63,19,0.30158730158730157,30mins,ZZ,Flow Permanence
r_7,r_24,68,36,0.5294117647058824,30mins,ZZ,Flow Permanence
r_8,r_15,84,53,0.6309523809523809,30mins,ZZ,Flow Permanence
r_9,r_26,142,113,0.795774647887324,30mins,ZZ,Flow Permanence
r_1,r_23,61,21,0.3442622950819672,hourly,ZZ,Flow Permanence
r_10,r_18,128,68,0.53125,hourly,ZZ,Flow Permanence
r_11,r_12,158,65,0.41139240506329117,hourly,ZZ,Flow Permanence
r_12,r_19,86,68,0.7906976744186046,hourly,ZZ,Flow Permanence
r_13,r_14,59,27,0.4576271186440678,hourly,ZZ,Flow Permanence
r_14,r_7,31,23,0.7419354838709677,hourly,ZZ,Flow Permanence
r_15,r_6,46,23,0.5,hourly,ZZ,Flow Permanence
r_16,r_21,85,46,0.5411764705882353,hourly,ZZ,Flow Permanence
r_17,r_9,122,76,0.6229508196721312,hourly,ZZ,Flow Permanence
r_18,r_11,142,87,0.6126760563380281,hourly,ZZ,Flow Permanence
r_19,r_4,81,22,0.2716049382716049,hourly,ZZ,Flow Permanence
r_2,r_28,5,2,0.4,hourly,ZZ,Flow Permanence
r_20,r_8,71,29,0.4084507042253521,hourly,ZZ,Flow Permanence
r_21,r_10,74,33,0.44594594594594594,hourly,ZZ,Flow Permanence
r_22,r_2,8,7,0.875,hourly,ZZ,Flow Permanence
r_23,r_3,44,29,0.6590909090909091,hourly,ZZ,Flow Permanence
r_24,r_16,103,43,0.4174757281553398,hourly,ZZ,Flow Permanence
r_25,r_13,136,57,0.41911764705882354,hourly,ZZ,Flow Permanence
r_26,r_1,71,47,0.6619718309859155,hourly,ZZ,Flow Permanence
r_3,r_27,22,15,0.6818181818181818,hourly,ZZ,Flow Permanence
r_4,r_17,95,54,0.5684210526315789,hourly,ZZ,Flow Permanence
r_5,r_20,59,33,0.559322033898305,hourly,ZZ,Flow Permanence
r_6,r_25,51,14,0.27450980392156865,hourly,ZZ,Flow Permanence
r_7,r_24,57,30,0.5263157894736842,hourly,ZZ,Flow Permanence
r_8,r_15,68,42,0.6176470588235294,hourly,ZZ,Flow Permanence
r_9,r_26,111,87,0.7837837837837838,hourly,ZZ,Flow Permanence
r_1,r_23,36,13,0.3611111111111111,4hr,ZZ,Flow Permanence
r_10,r_18,92,42,0.45652173913043476,4hr,ZZ,Flow Permanence
r_11,r_12,106,57,0.5377358490566038,4hr,ZZ,Flow Permanence
r_12,r_19,63,45,0.7142857142857143,4hr,ZZ,Flow Permanence
r_13,r_14,41,20,0.4878048780487805,4hr,ZZ,Flow Permanence
r_14,r_7,20,16,0.8,4hr,ZZ,Flow Permanence
r_15,r_6,27,15,0.5555555555555556,4hr,ZZ,Flow Permanence
r_16,r_21,59,28,0.4745762711864407,4hr,ZZ,Flow Permanence
r_17,r_9,85,53,0.6235294117647059,4hr,ZZ,Flow Permanence
r_18,r_11,85,36,0.4235294117647059,4hr,ZZ,Flow Permanence
r_19,r_4,49,10,0.20408163265306123,4hr,ZZ,Flow Permanence
r_2,r_28,4,0,0,4hr,ZZ,Flow Permanence
r_20,r_8,47,19,0.40425531914893614,4hr,ZZ,Flow Permanence
r_21,r_10,54,24,0.4444444444444444,4hr,ZZ,Flow Permanence
r_22,r_2,7,6,0.8571428571428571,4hr,ZZ,Flow Permanence
r_23,r_3,27,12,0.4444444444444444,4hr,ZZ,Flow Permanence
r_24,r_16,78,30,0.38461538461538464,4hr,ZZ,Flow Permanence
r_25,r_13,95,39,0.4105263157894737,4hr,ZZ,Flow Permanence
r_26,r_1,46,27,0.5869565217391305,4hr,ZZ,Flow Permanence
r_3,r_27,17,13,0.7647058823529411,4hr,ZZ,Flow Permanence
r_4,r_17,69,34,0.4927536231884058,4hr,ZZ,Flow Permanence
r_5,r_20,32,15,0.46875,4hr,ZZ,Flow Permanence
r_6,r_25,31,8,0.25806451612903225,4hr,ZZ,Flow Permanence
r_7,r_24,40,23,0.575,4hr,ZZ,Flow Permanence
r_8,r_15,51,30,0.5882352941176471,4hr,ZZ,Flow Permanence
r_9,r_26,70,49,0.7,4hr,ZZ,Flow Permanence
r_1,r_23,22,22,1,daily,ZZ,Flow Permanence
r_10,r_18,18,2,0.1111111111111111,daily,ZZ,Flow Permanence
r_11,r_12,16,16,1,daily,ZZ,Flow Permanence
